#,RefDes,Value,Name,Part,Quantity
1,A0,,LargeSolderBridge,Part 1,1
2,A1,,LargeSolderBridge,Part 1,1
3,C1,22uF (bulk),CAP_0603,GRM188R60J226MEA0J,1
4,C2,330pF 10% 50V X7R,CAP_0402,CL05B331KB5NNNC,1
5,C3,3300pF 250V,CAP_0805,GRM21AR72E332KW01D,1
6,C4,0.1uF,CAP_0402,GRM155R61A104KA01J,1
7,C5,0.01uF,CAP_0402,GRM155R71C103KA01D,1
8,D1,200V 50ns,BAV21WS,Part 1,1
9,J1,,2x2T/2.54,Part 1,1
10,J2,,2x1T/2.54,Part 1,1
11,J3,,2x2T/2.54,Part 1,1
12,J5,,2x1T/2.54,Part 1,1
13,J6,,2x1T/2.54,Part 1,1
14,J7,,2x1T/2.54,Part 1,1
15,J8,,2x1T/2.54,Part 1,1
16,J9,,2x1T/2.54,Part 1,1
17,J10,,2x1T/2.54,Part 1,1
18,J11,,2x1T/2.54,Part 1,1
19,J12,,2x1T/2.54,Part 1,1
20,L1,,GA3250D-BL,Part 1,1
21,R1,20k,RES_0402,Part 1,1
22,R2,2.2k,EXB(2/U)4(A/V),Part 1,1
23,R3,10k,EXB(2/U)4(A/V),Part 1,1
24,R4,33k,RES_0402,Part 1,1
25,U1,,MAX14521E,Part 1,1
26,U2,,Fyberstamp,Part 1,1
27,U3,,Fyberstamp,Part 1,1
,,,,,27
