"#","RefDes","Value","Name","Part","Pattern","Quantity"
"1","C1","100nF","CAP_0402","GRM155R71A104KA01J","CAP_0402","1"
"2","C2","4.7uF","CAP_0603","GRM188R60J475KE19D","CAP_0603","1"
"3","C3","100nF","CAP_0402","GRM155R71A104KA01J","CAP_0402","1"
"4","D1","RGB","CLX6A/B/C/D-FKC","CLX6B-FKC-CKPPSGMBB7A363","PLCC-6","1"
"5","D2","UV","VLMU3100","VLMU3100-GS08","PLCC-2","1"
"6","D3","RGB","CLX6A/B/C/D-FKC","CLX6A-FKB-CK1P1G1BB7S4T3","PLCC-6","1"
"7","D4","IR","VSMG2700","VSMG2700-GS08","PLCC-2","1"
"8","D5","RGB","CLX6A/B/C/D-FKC","CLX6B-FKC-CKPPSGMBB7A363","PLCC-6","1"
"9","D6","UV","VLMU3100","VLMU3100-GS08","PLCC-2","1"
"10","D7","RGB","CLX6A/B/C/D-FKC","CLX6A-FKB-CK1P1G1BB7S4T3","PLCC-6","1"
"11","D8","IR","VSMG2700","VSMG2700-GS08","PLCC-2","1"
"12","J2","","CAST-1x2T/2.54","Part 1","CAST-1x2T/2.54/5x2","1"
"13","J3","","CAST-1x2T/2.54","Part 1","CAST-1x2T/2.54/5x2","1"
"14","J4","","CAST-1x2T/2.54","Part 1","CAST-1x2T/2.54/5x2","1"
"15","J5","","CAST-1x2T/2.54","Part 1","CAST-1x2T/2.54/5x2","1"
"16","J6","","CAST-1x2T/2.54","Part 1","CAST-1x2T/2.54/5x2","1"
"17","R1","482-3906Ohm (1KOhm ~ 40mA)","RES_0402","ERJ-2RKF4870X or ERJ-2RKF6490X or ERJ-2RKF9760X or ERJ-2RKF1911X","RES_0402","1"
"18","R2","100k","RES_0402","ERJ-2GEJ104X","RES_0402","1"
"19","U1","","TLC5941","TLC5941RHBT","32VQFN-(S-PVQFN-N32)","1"
