#,RefDes,Value,Name,Quantity,Part,Datasheet,BOM
1,Cp1,"Capacitor, Ceramic, 10uF, 6.3V, 20%",CAP_0603,1,GRM188R60J106ME47D,,pPadPower
2,Cp2,"Capacitor, Ceramic, 22pF, 16V, 5%",CAP_0603,1,C1608C0G1H220J080AA,,pPadPower
3,Cp3,"Capacitor, Ceramic, 10uF, 6.3V, 20%",CAP_0603,1,GRM188R60J106ME47D,,pPadPower
4,Cp4,"10nF Capacitor, X7R, ±10% 50volts",CAP_0603,1,C1608X7R1H103K080AA,,pPadPower
5,Cp5,"10nF Capacitor, X7R, ±10% 50volts",CAP_0603,1,C1608X7R1H103K080AA,,pPadPower
6,Cp6,"4.7uF Capacitor, X7R, ±10% 50volts",CAP_0603,1,C1608X5R1E475K080AC,,pPadPower
7,Dp1,0.5v,DIODE_0402,1,CDSQR4148,,pPadPower
7,Dp1,0.5v,DIODE_0402,1,CDBQR0130L,,pPadPower
7,Dp1,0.5v,DIODE_0402,1,CDBQR0130L-HL,,pPadPower
8,Lp1,"Inductor, 1uH, 2.45A, 30mO",IND_1515,1,LQH44PN1R0NP0L,,pPadPower
9,Rp1,"825KO, 100mW, 1%",RES_0603,1,ERJ-3EKF8253V,,pPadPower
10,Rp2,"180KO, 100mW, 1%",RES_0603,1,ERJ-3EKF1803V,,pPadPower
11,Rp3,"1MO, 100mW, 1%",RES_0603,1,ERJ-3EKF1004V,,pPadPower
12,Rp4,10k,RES_0603,1,CRCW060310K0JNEAHP,,pPadPower
13,Rp5,2.2Ohm,RES_0402,1,ERJ-2GEJ2R2X,,pPadPower
14,Rp6,2.2Ohm,RES_0402,1,ERJ-2GEJ2R2X,,pPadPower
15,Rp7,2.2Ohm,RES_0402,1,ERJ-2GEJ2R2X,,pPadPower
16,Rp8,10k,RES_0402,1,ERJ-2RKF1002X,,pPadPower
17,Rp9,10k,RES_0402,1,ERJ-2RKF1002X,,pPadPower
18,Rp10,100k,RES_0402,1,ERJ-2GEJ104X,,pPadPower
19,Rp11,10k,RES_0402,1,ERJ-2RKF1002X,,pPadPower
20,Up1,,BQ24392,1,BQ24392RSER,,pPadPower
21,Up2,,TPD4S014,1,TPD4S014DSQR,,pPadPower
22,Up3,,TPS62065/7,1,TPS62067DSGT,,pPadPower
23,USBmicB,,DX4R005H91,1,DX4R005H91R1500,http://jae-connectors.com/en/pdf_download_exec.cfm?param=SJ107089.pdf,pPadPower
