"#","RefDes","Value","Part"
"1","C1","22uF","CL10A226MP8NUNE"
"2","C2","0.1uF","CL05B104KO5NNNC"
"3","C3","10uF","CL10A106MP8NNNC"
"4","C4","0.1uF","CL05B104KO5NNNC"
"5","C5","0.1uF","CL05B104KO5NNNC"
"6","C6","22uF","CL10A226MP8NUNE"
"7","C7","47uF+ (100uF)","CL31A107MQHNNNE"
"8","C8","0.1-1uF 16V","CL05A105KO5NNNC"
"9","C9","0.1-1uF 16V","CL05A105KO5NNNC"
"10","C10","0.1uF","CL05B104KO5NNNC"
"11","C11","10uF","CL10A106MP8NNNC"
"12","i2cR","","Part 1"
"13","J1","","Part 1"
"14","J2","","Part 1"
"15","J3","","Part 1"
"16","J4","","Part 1"
"17","J5","","Part 1"
"18","J6","","Part 1"
"19","J7","","Part 1"
"20","J8","","Part 1"
"21","J9","","Part 1"
"22","J10","","Part 1"
"23","R1","10k","EXB-24V472JX"
"24","R2","10k","ERJ-2RKF1002X"
"25","U1","","TAS2521IRGET"
"26","U2","","Part 1"
"27","U3","","Part 1"
