"#","RefDes","Value","Part"
"1","A0","","Part 1"
"2","A1","","Part 1"
"3","A2","","Part 1"
"4","A3","","Part 1"
"5","A4","","Part 1"
"6","A5","","Part 1"
"7","C1","10uF","CL10A106MP8NNNC"
"8","C2","0.1uF","CL05B104KO5NNNC"
"9","i2cR","","Part 1"
"10","J1","","Part 1"
"11","J2","","Part 1"
"12","J3","","Part 1"
"13","J4","","Part 1"
"14","R1","10k","ERJ-2RKF1002X"
"15","R2","10k
10k
10k","EXB-28V103JX"
"16","R3","10k","EXB-24V103JX"
"17","R4","4.7k","EXB-24V472JX"
"18","U1","","PCA9685BS,118"
"19","U2","","Part 1"
