"#","RefDes","Value","Name","Part","Quantity"
"1","C1","10uF","CAP_0603","CL10A106MP8NNNC","1"
"2","C2","1uF","CAP_0402","GRM155R61A105KE15D","1"
"3","C3","1uF","CAP_0402","GRM155R61A105KE15D","1"
"4","DRVIO","","2x2T/2.54","Part 1","1"
"5","I2C","","2x2T/2.54","Part 1","1"
"6","Mout","","2x2T/2.54rev","Part 1","1"
"7","Power","","2x2T/2.54","Part 1","1"
"8","R1","2.2k","RES_0402","ERJ-2RKF2201X","1"
"9","R2","2.2k","RES_0402","ERJ-2RKF2201X","1"
"10","U1","","DRV2605L short","Part 1","1"
"11","U2","","Fyberstamp","Part 1","1"
"","","","","","11"
