"#","RefDes","Value","Part"
"1","C1","0.1uF 250V X7R","C2012X7T2E104M125AA"
"2","C2","100uF","CL31A107MQHNNNE"
"3","C3","0.1uF 16V","CL21B104MOCNBNC"
"4","C4","1.0uF 6.3V>","CL14A105MP5NANC"
"5","i2cR","","Part 1"
"6","J1","","Part 1"
"7","J2","","Part 1"
"8","J4","","Part 1"
"9","J5","","Part 1"
"10","J6","","Part 1"
"11","L1","","LPS4018-472MR"
"12","R1","768k","ERJ-2RKF7683X"
"13","R2","13k for 150Vmax","ERJ-2RKF1302X"
"14","R3","7.87k","ERJ-2RKF7871X"
"15","R4","4.7k","EXB-24V472JX"
"16","U1","","DRV2667RGPT"
"17","U2","","Part 1"
"18","U3","","Part 1"
