"#","RefDes","Value","Name","Part","Quantity"
"1","A0","","LargeSolderBridge","Part 1","1"
"2","C1","0.1uF","CAP_0402","Part 1","1"
"3","C2","0.1uF","CAP_0402","Part 1","1"
"4","J1","","2x4T/2.54","Part 1","1"
"5","J2","","2x4T/2.54","Part 1","1"
"6","J3","","2x4T/2.54","Part 1","1"
"7","J5","","2x4T/2.54rev","Part 1","1"
"8","J6","","2x1T/2.54","Part 1","1"
"9","R1","10k","EXB(2/U)4(A/V)","Part 1","1"
"10","R2","2.2k","EXB(2/U)4(A/V)","Part 1","1"
"11","R3","75k 1%","RES_0402","Part 1","1"
"12","U1","","MPR121","Part 1","1"
"13","U2","","Fyberstamp","Part 1","1"
"14","U3","","Fyberstamp","Part 1","1"
"","","","","","14"
