"#","RefDes","Value","Name","Part","Quantity"
"1","A0","","SolderBridge","Part 1","1"
"2","A1","","SolderBridge","Part 1","1"
"3","A2","","SolderBridge","Part 1","1"
"4","J1","","2x4T/2.54","Part 1","1"
"5","J2","","2x4T/2.54","Part 1","1"
"6","J3","","2x4T/2.54","Part 1","1"
"7","J4","","2x4T/2.54","Part 1","1"
"8","J5","","2x2T/2.54","Part 1","1"
"9","J6","","2x2T/2.54","Part 1","1"
"10","R1","","EXB(2/U)8(V)","Part 1","1"
"11","R2","","EXB(2/U)4(A/V)","Part 1","1"
"12","U1","","T/PCA9548","Part 1","1"
"13","U2","","Fyberstamp","Part 1","1"
"","","","","","13"
