"#","RefDes","Value","Part"
"1","C1","100nF","CL05B104KO5NNNC"
"2","C2","4.7uF","CL10A475KP8NNNC"
"3","C3","100nF","CL05B104KO5NNNC"
"4","D1","RGB","CLX6B-FKC-CKPPSGMBB7A363"
"5","D2","UV","VLMU3100-GS08"
"6","D3","RGB","CLX6A-FKB-CK1P1G1BB7S4T3"
"7","D4","IR","VSMG2700-GS08"
"8","D5","RGB","CLX6B-FKC-CKPPSGMBB7A363"
"9","D6","UV","VLMU3100-GS08"
"10","D7","RGB","CLX6A-FKB-CK1P1G1BB7S4T3"
"11","D8","IR","VSMG2700-GS08"
"12","J1","","Part 1"
"13","J2","","Part 1"
"14","J3","","Part 1"
"15","J5","","Part 1"
"16","J6","","Part 1"
"17","J7","","Part 1"
"18","R1","482-3906Ohm (1KOhm ~ 40mA)","ERJ-2RKF4870X or ERJ-2RKF6490X or ERJ-2RKF9760X or ERJ-2RKF1911X"
"19","R2","100k","ERJ-2GEJ104X"
"20","R3","1.5k","EXB-24V152JX"
"21","U1","","TLC5941RHBT"
"22","U2","","Part 1"
