"#","RefDes","Value","Part"
"1","3v1","","Part 1"
"2","BAT1","","Part 1"
"3","BATSYS1","","Part 1"
"4","C1","68nF 25V 10%","C1005X5R1E683K050BC"
"5","C2","10uF 25V X5R","CL10A106MA8NRNC "
"6","C3","10uF 25V X5R","CL10A106MA8NRNC "
"7","C4","1uF 16V 10%","CL05A105KO5NNNC"
"8","C6","1uF 16V 10%","CL05A105KO5NNNC"
"9","C7","68nF 25V 10%","C1005X5R1E683K050BC"
"10","C8","22nF 25V 10%","CL05B223KA5NNNC"
"11","C9","0.01uF 25V 10%","CL05B103KA5NNNC"
"12","C10","47nF 25V 10%","GRM155R71E473KA88D"
"13","C11","0.01uF 25V 10%","CL05B103KA5NNNC"
"14","C12","1800pF 25V 10%","CL05B182KB5NNNC"
"15","C13","100pF 25V C0G 5%","CL05C101JB5NNNC"
"16","C14","22nF 25V 10%","CL05B223KA5NNNC"
"17","C15","0.47uF 25V 10%","CL05A474KA5NNNC"
"18","C16","0.47uF 25V 10%","CL05A474KA5NNNC"
"19","C17","47nF","GRM155R71E473KA88D"
"20","C18","1uF","CL05A105KO5NNNC"
"21","C19","10uF >6V","CL10A106MP8NNNC"
"22","C20","4.7uF 10V","CL05A475MP5NRNC"
"23","C22",">8.22uF 22uF for 3-4A","CL10A226MP8NUNE"
"24","C23","0.1uF","CL05B104KO5NNNC"
"25","C25","10uF","CL10A106MP8NNNC"
"26","C27","1uF","CL05A105KO5NNNC"
"27","C28","220nF","CL05A224MQ5NNNC"
"28","D1","LED","LTST-C281KFKT"
"29","D2","LED","LTST-C281KSKT"
"30","D3","LED","LTST-C281KRKT"
"31","GND1","","Part 1"
"32","INTB1","","Part 1"
"33","L1","1uH 4.8A 0.0336ohm","XAL4020-222ME_"
"34","PMID1","","Part 1"
"35","PMID2","","Part 1"
"36","PSEL1","","Part 1"
"37","Qi1","","Part 1"
"38","R1","20k-100k 1/16W 1%","ERJ-2GEJ513X"
"39","R2","1.5k","ERJ-2GEJ152X"
"40","R3","10K-50k","ERJ-2GEJ273X"
"41","R4","4.23k","ERJ-2RKF4221X"
"42","R5","30Ohm 1%","ERJ-2RKF30R0X"
"43","R6","188Ohm 1%","ERJ-2RKF1870X"
"44","R7","188 1% for 2.5A","ERJ-2RKF1870X"
"45","R8","2.2k","EXB-28V222JX"
"46","R9","2.2k","EXB-V4V222JV"
"47","R10","5.52k","ERJ-2RKF5491X"
"48","R11","31.23k","ERJ-2RKF3092X"
"49","R12","1k","ERJ-2GEJ102X"
"50","R14","1% 5 to 50mOhm","CRF0805-FX-R010ELF"
"51","R15","66.8k","ERJ-2RKF6652X"
"52","RST1","","Part 1"
"53","RST2","","Part 1"
"54","SCL1","","Part 1"
"55","SCL2","","Part 1"
"56","SDA1","","Part 1"
"57","SDA2","","Part 1"
"58","TS1","T(10k)","ERT-J0EG103JA"
"59","TS2","T(10k)","ERT-J0EG103JA"
"60","U1","","SIA907EDJT-T1-GE3"
"61","U2","","BQ51013BRHLT"
"62","U3","","BQ24296RGET"
"63","U4","","STC3115AIJT"
"64","U5","","PCA9570GMH"
"65","U6","","NC7WZ32L8X"
"66","U7","","Part 1"
"67","VBUS1","","Part 1"
