"#","RefDes","Value","Name","Part","Pattern","Quantity"
"1","-3v1","","CAST-1x1T/2.54","Part 1","CAST-1x1T/2.54/5x2","1"
"2","3v1","","CAST-1x1T/2.54","Part 1","CAST-1x1T/2.54/5x2","1"
"3","3v2","","CAST-1x3T/2.54","Part 1","CAST-1x3T/2.54/7x2","1"
"4","3v3","","CAST-1x1T/2.54","Part 1","CAST-1x1T/2.54/5x2","1"
"5","3v4","","CAST-1x1T/2.54","Part 1","CAST-1x1T/2.54/5x2","1"
"6","3v5","","CAST-1x1T/2.54","Part 1","CAST-1x1T/2.54/5x2","1"
"7","5VPower","","CAST-1x4T/2.54","Part 1","CAST-1x4T/2.54/10x2","1"
"8","C1","47uF X5R","CAP_1206","GRM31CR60J476ME19L","1206","1"
"9","C2","","GRM31CR61A226KE1","GRM31CR61A226KE1","1206","1"
"10","C3","47uF X5R","CAP_1206","GRM31CR60J476ME19L","1206","1"
"11","C4","","GRM31CR61C226ME1","GRM31CR61C226ME1","1206","1"
"12","C5","1uF X5R","CAP_0603","GRM188R60J105KA01D","CAP_0603","1"
"13","C6","10nF Capacitor, X7R, ±10% 50volts","CAP_0603","C1608X7R1H103K080AA","CAP_0603","1"
"14","C7","4.7uF Capacitor, X7R, ±10% 50volts","CAP_0603","C1608X5R1E475K080AC","CAP_0603","1"
"15","C8","10nF Capacitor, X7R, ±10% 50volts","CAP_0603","C1608X7R1H103K080AA","CAP_0603","1"
"16","D1","0.5v","DIODE_0402","CDSQR4148 or CDBQR0130L","DIO_0402","1"
"17","GND1","","CAST-1x2T/2.54","Part 1","CAST-1x2T/2.54/5x2","1"
"18","GND2","","CAST-1x1T/2.54","Part 1","CAST-1x1T/2.54/5x2","1"
"19","GND3","","CAST-1x1T/2.54","Part 1","CAST-1x1T/2.54/5x2","1"
"20","L1","","XFL4012-471MEB","XFL4012-471MEB","XFL4012","1"
"21","R1","2.2Ohm","RES_0402","ERJ-2GEJ2R2X","RES_0402","1"
"22","R2","2.2Ohm","RES_0402","ERJ-2GEJ2R2X","RES_0402","1"
"23","R3","2.2Ohm","RES_0402","ERJ-2GEJ2R2X","RES_0402","1"
"24","R4","10k","RES_0402","ERJ-2RKF1002X","RES_0402","1"
"25","R5","100k","RES_0402","ERJ-2GEJ104X","RES_0402","1"
"26","U1","","BQ24392","BQ24392RSER","PUQFN-N10","1"
"27","U2","","TPD4S014","TPD4S014DSQR","PWSON-N10","1"
"28","U3","","TPS62086RLTR","TPS62086RLTR","RLT0007A","1"
"29","U4","","SN74LVC1G04","SN74LVC1G04DBVR","R-PUSON-N6","1"
"30","U6","","LM2663","LM2663MX/NOPB","SOIC-8/150mil","1"
"31","USBCHG","","CAST-1x1T/2.54","Part 1","CAST-1x1T/2.54/5x2","1"
"32","USBmicB1","","DX4R005H91","DX4R005H91R1500","DX4R005H91","1"
"33","USBOTG","","CAST-1x3T/2.54","Part 1","CAST-1x3T/2.54/7x2","1"
