"#","RefDes","Value","Part"
"1","-3v3","","Part 1"
"2","3v3","","Part 1"
"3","3v31","","Part 1"
"4","C1","22uF","CL10A226MP8NUNE"
"5","C2","22UF 10V X5R","CL10A226MP8NUNE"
"6","C3","22UF 10V 20% X5R","CL10A226MP8NUNE"
"7","C4","22uF","CL10A226MP8NUNE"
"8","C6","> 0.1uF","CL05B104KO5NNNC"
"9","C7","1uF","CL05A105KO5NNNC"
"10","C8","1uF","CL05A105KO5NNNC"
"11","C9","0.1uF","CL05B104KO5NNNC"
"12","C10","1uF","CL05A105KO5NNNC"
"13","C11","1uF","CL05A105KO5NNNC"
"14","C12","1uF","CL05A105KO5NNNC"
"15","C13","2.2uF ","CL05A225MP5NSNC"
"16","C14","1uF > 30V","CL10A105KB8NNNC"
"17","C15","22uF","CL10A226MP8NUNE"
"18","C16","10pF 50V 5% NP0","GRM1555C1H100JA01D"
"19","D1","","PMEG3005ELD,315"
"20","D2","","TPD1E05U06DPYT"
"21","GND1","","Part 1"
"22","GND2","","Part 1"
"23","GND3","","Part 1"
"24","INTB","","Part 1"
"25","INTB1","","Part 1"
"26","L1","","IHLP1212AEERR47M11"
"27","L2",">=220Ohm >2A","BLM18SG221TN1D"
"28","L3","","ECMF02-2AMX6"
"29","L4","220Ohm","BLM18SG221TN1D"
"30","L5",">=220Ohm 2A","BLM18SG221TN1D"
"31","L6","","VLS2012ET-6R8M"
"32","PSEL","","Part 1"
"33","PSEL1","","Part 1"
"34","R1","200Ohm 1% (2.5A)","ERJ-2GEJ201X"
"35","R2","> 1.2kOhm","EXB-24V152JX"
"36","R3","10k","ERJ-2RKF1002X"
"37","R4","10k","ERJ-2RKF1002X"
"38","R6","2.2Ohm","EXB-N8V2R2JX"
"39","R8","100k 1%","ERJ-2RKF1003X"
"40","R9","274k 1%","ERJ-2RKF2743X"
"41","S1","","Part 1"
"42","SCL","","Part 1"
"43","SDA","","Part 1"
"44","U1","","LMR70503TM/NOPB"
"45","U2","","TPS62086RLTR"
"46","U3","","TPS2115ADRBR"
"47","U4","","MAX3353EEBP-T"
"48","U5","","TSU6721YFPR"
"49","U6","","TPD1S514-1YZR"
"50","U8","","Part 1"
"51","USB","","Part 1"
"52","USB1","","47590-0001"
"53","VBAT","","Part 1"
"54","VBAT1","","Part 1"
"55","VBUS","","Part 1"
"56","VBUS1","","Part 1"
