"#","RefDes","Value","Name","Part","Pattern","Quantity"
"1","-3v3","","CAST-1x1T/2.54","Part 1","CAST-1x1T/2.54/5x2","1"
"2","3v4","","CAST-1x1T/2.54","Part 1","CAST-1x1T/2.54/5x2","1"
"3","3v31","","CAST-1x2T/2.54","Part 1","CAST-1x2T/2.54/5x2","1"
"4","3v32","","CAST-1x1T/2.54","Part 1","CAST-1x1T/2.54/5x2","1"
"5","3v33","","CAST-1x1T/2.54","Part 1","CAST-1x1T/2.54/5x2","1"
"6","5VPower","","CAST-1x4T/2.54","Part 1","CAST-1x4T/2.54/10x2","1"
"7","CHG_AL_N","","CAST-1x1T/2.54","Part 1","CAST-1x1T/2.54/5x2","1"
"8","Cp1","Capacitor, Ceramic, 10uF, 6.3V, 20%","CAP_0603","GRM188R60J106ME47D","CAP_0603","1"
"9","Cp2","Capacitor, Ceramic, 22pF, 16V, 5%","CAP_0603","C1608C0G1H220J080AA","CAP_0603","1"
"10","Cp3","Capacitor, Ceramic, 10uF, 6.3V, 20%","CAP_0603","GRM188R60J106ME47D","CAP_0603","1"
"11","Cp4","10nF Capacitor, X7R, ±10% 50volts","CAP_0603","C1608X7R1H103K080AA","CAP_0603","1"
"12","Cp5","10nF Capacitor, X7R, ±10% 50volts","CAP_0603","C1608X7R1H103K080AA","CAP_0603","1"
"13","Cp6","4.7uF Capacitor, X7R, ±10% 50volts","CAP_0603","C1608X5R1E475K080AC","CAP_0603","1"
"14","Cpi1","1uF X5R","CAP_0603","GRM188R60J105KA01D","CAP_0603","1"
"15","Cpi2","1uF X5R","CAP_0603","GRM188R60J105KA01D","CAP_0603","1"
"16","Cpi3","1uF X5R","CAP_0603","GRM188R60J105KA01D","CAP_0603","1"
"17","Dp1","0.5v","DIODE_0402","CDSQR4148 or CDBQR0130L","DIO_0402","1"
"18","GND","","CAST-1x3T/2.54","Part 1","CAST-1x3T/2.54/7x2","1"
"19","GND1","","CAST-1x1T/2.54","Part 1","CAST-1x1T/2.54/5x2","1"
"20","Lp1","Inductor, 1uH, 2.45A, 30mO","IND_1515","LQH44PN1R0NP0L","IND1515","1"
"21","Rp1","825KO, 100mW, 1%","RES_0603","ERJ-3EKF8253V","RES_0603","1"
"22","Rp2","180KO, 100mW, 1%","RES_0603","ERJ-3EKF1803V","RES_0603","1"
"23","Rp3","1MO, 100mW, 1%","RES_0603","ERJ-3EKF1004V","RES_0603","1"
"24","Rp4","10k","RES_0402","ERJ-2RKF1002X","RES_0402","1"
"25","Rp5","2.2Ohm","RES_0402","ERJ-2GEJ2R2X","RES_0402","1"
"26","Rp6","2.2Ohm","RES_0402","ERJ-2GEJ2R2X","RES_0402","1"
"27","Rp7","2.2Ohm","RES_0402","ERJ-2GEJ2R2X","RES_0402","1"
"28","Rp8","10k","RES_0402","ERJ-2RKF1002X","RES_0402","1"
"29","Rp9","10k","RES_0402","ERJ-2RKF1002X","RES_0402","1"
"30","Rp10","100k","RES_0402","ERJ-2GEJ104X","RES_0402","1"
"31","Up1","","BQ24392","BQ24392RSER","PUQFN-N10","1"
"32","Up2","","TPD4S014","TPD4S014DSQR","PWSON-N10","1"
"33","Up3","","TPS62065/7","TPS62067DSGT","DSG (S-PWSON-N8) 2LOSH","1"
"34","Up4","","SN74LVC1G04DRYR","SN74LVC1G04DRYR","R-PUSON-N6","1"
"35","Up5","","TPS60401","TPS60401DBVR","SOT23-5","1"
"36","USBCHGu","","CAST-1x2T/2.54","Part 1","CAST-1x2T/2.54/5x2","1"
"37","USBmicB","","DX4R005H91","DX4R005H91R1500","DX4R005H91","1"
"38","USBOTGu","","CAST-1x3T/2.54","Part 1","CAST-1x3T/2.54/7x2","1"
