"#","RefDes","Value","Name","Part","Quantity"
"1","/CE","","2x1T/2.54","Part 1","1"
"2","BAT","","2x1T/2.54","Part 1","1"
"3","C1","","CAP_0603","Part 1","1"
"4","C2","","CAP_0402","Part 1","1"
"5","C3","","CAP_0402","Part 1","1"
"6","C4","","CAP_0603","Part 1","1"
"7","C5","","CAP_0603","Part 1","1"
"8","C6","","CAP_0603","Part 1","1"
"9","C7","","CAP_0603","Part 1","1"
"10","D1","","DIODE_0603","Part 1","1"
"11","D+","","2x1T/2.54","Part 1","1"
"12","D-","","2x1T/2.54","Part 1","1"
"13","GND","","2x1T/2.54","Part 1","1"
"14","INT","","2x1T/2.54","Part 1","1"
"15","PMID","","2x1T/2.54","Part 1","1"
"16","R1","","RES_0402","Part 1","1"
"17","R2","","RES_0402","Part 1","1"
"18","R3","","RES_0402","Part 1","1"
"19","R4","","RES_0402","Part 1","1"
"20","SCL","","2x1T/2.54","Part 1","1"
"21","SDA","","2x1T/2.54","Part 1","1"
"22","SYS","","2x1T/2.54","Part 1","1"
"23","TS1","","RES_0402","Part 1","1"
"24","U1","","BQ24195(L)","Part 1","1"
"25","U2","","XFL4012-471MEB","Part 1","1"
"26","VBUS","","2x1T/2.54","Part 1","1"
"","","","","","26"
