"#","RefDes","Value","Name","Part","Quantity"
"1","C1","1uF","CAP_0402","Part 1","1"
"2","C2","220nF","CAP_0402","Part 1","1"
"3","J1","","2x1T/2.54","Part 1","1"
"4","J2","","2x1T/2.54","Part 1","1"
"5","J3","","2x1T/2.54","Part 1","1"
"6","J4","","2x1T/2.54","Part 1","1"
"7","J5","","2x1T/2.54","Part 1","1"
"8","J6","","2x1T/2.54","Part 1","1"
"9","R1","1k","EXB(2/U)4(A/V)","Part 1","1"
"10","R2","10k","EXB(2/U)8(V)","Part 1","1"
"11","R3","1% 5 to 50mOhm","RES_0805","Part 1","1"
"12","U1","","STC3115","Part 1","1"
"","","","","","12"
