"#","RefDes","Value","Part"
"1","ADCGPIO","","Part 1"
"2","ADCGPIO2","","Part 1"
"3","BOOTP","","Part 1"
"4","C1","100nF","GRM155R71A104KA01J"
"5","C2","1uF","LMK107B7105KA-T"
"6","C3","100nF","GRM155R71A104KA01J"
"7","C4","4.7 µF LowESR < 1
O","C1608X7S1A475M080AC"
"8","C5","100nF","GRM155R71A104KA01J"
"9","C6","4.7uF","GRM188R60J475KE19D"
"10","C7","100nF","GRM155R71A104KA01J"
"11","C8","100nF","GRM155R71A104KA01J"
"12","C9","100nF","GRM155R71A104KA01J"
"13","C10","100nF","GRM155R71A104KA01J"
"14","C11","100nF","GRM155R71A104KA01J"
"15","C12","100nF","GRM155R71A104KA01J"
"16","C13","12pF Capacitor, NP0, ±2%","500R07S120GV4T"
"17","C14","12pF Capacitor, NP0, ±2%","500R07S120GV4T"
"18","C15","22pF+ NP0 1%","GRM1555C1H220FA01D"
"19","C16","22pF+ NP0 1%","GRM1555C1H220FA01D"
"20","ESD","","Part 1"
"21","I2C1","","Part 1"
"22","I2C3","","Part 1"
"23","J1","","Part 1"
"24","J2","","Part 1"
"25","J3","","Part 1"
"26","J4","","Part 1"
"27","L1","","BLM18HE152SN1D"
"28","Power","","Part 1"
"29","R1","510","ERJ-2GEJ511X"
"30","R2","10k","ERJ-2RKF1002X"
"31","R3","10k","ERJ-2RKF1002X"
"32","SPI2","","Part 1"
"33","SWD","","Part 1"
"34","U1","","STM32F401CCU6"
"35","USBCHG","","Part 1"
"36","USBOTG","","Part 1"
"37","X1","16MHz or 24MHz","FA-20H 16.0000MF10Z-AJ3"
"38","X2","","FC-12M"
