"#","RefDes","Value","Part"
"1","BBOOT","","SKSVCAE010"
"2","BRST","","SKSVCAE010"
"3","BTAMP","","SKSVCAE010"
"4","C1","100nF","CL05B104KO5NNNC"
"5","C2","","CL21B104MOCNBNC"
"6","C3","12pF NP0 1%","GRM1555C1H120FA01D"
"7","C4","12pF+ NP0 1%","GRM1555C1H120FA01D"
"8","C5","100nF","CL05B104KO5NNNC"
"9","C6","12pF Capacitor, NP0, ±2%","GRM1555C1H120FA01D"
"10","C7","4.7uF","CL05A475MQ5NRNC"
"11","C8","12pF Capacitor, NP0, ±2%","GRM1555C1H120FA01D"
"12","C9","100nF","CL05B104KO5NNNC"
"13","C10","1uF","CL10B105KP8NNNC"
"14","C11","100nF","CL05B104KO5NNNC"
"15","C12","100nF","CL05B104KO5NNNC"
"16","C13","4.7 µF LowESR < 1","CL10A475KP8NNNC"
"17","C14","","CL05A225MQ5NNNC"
"18","C15","","CL05A225MQ5NNNC"
"19","C17","2.2uF ","CL05A225MP5NSNC"
"20","C18","1uF > 30V","CL10A105KB8NNNC"
"21","C20","22UF 10V X5R","CL10A226MP8NUNE"
"22","C21","22UF 10V 20% X5R","CL10A226MP8NUNE"
"23","C22","22uF","CL10A226MP8NUNE"
"24","D2","","TPD1E05U06DPYT"
"25","GND","","Part 1"
"26","J1","","Part 1"
"27","J2","","Part 1"
"28","J3","","Part 1"
"29","J4","","Part 1"
"30","J5","","Part 1"
"31","J6","","Part 1"
"32","J7","","Part 1"
"33","J8","","Part 1"
"34","J9","","Part 1"
"35","J10","","Part 1"
"36","J11","","Part 1"
"37","J12","","Part 1"
"38","J13","","Part 1"
"39","J14","","Part 1"
"40","J15","","Part 1"
"41","J17","","Part 1"
"42","L1","","BLM18HE152SN1D"
"43","L2",">=220Ohm >2A","BLM18SG221TN1D"
"44","L3","","ECMF02-2AMX6"
"45","L4","220Ohm","BLM18SG221TN1D"
"46","L5",">=220Ohm 2A","BLM18SG221TN1D"
"47","L6","","IHLP1212AEERR47M11"
"48","L7","Coil Bead","BLM18AG102SN1D"
"49","R1","510","ERJ-2GEJ511X"
"50","R2","10k","ERJ-2RKF1002X"
"51","R3","10k","ERJ-2RKF1002X"
"52","R4","200Ohm 1% (2.5A)","ERJ-2GEJ201X"
"53","R5","22","EXB-24V220JX"
"54","RST","","Part 1"
"55","SWD","","Part 1"
"56","U1","","STM32F411CE"
"57","U2","","TPS62086RLTR"
"58","U3","","TPS2115ADRBR"
"59","U4","","Part 1"
"60","U5","","TPS60151DRVR"
"61","U6","","TPD1S514-1YZR"
"62","USB1","","67803-002"
"63","VBAT","","Part 1"
"64","VBUS","","Part 1"
"65","VDD","","Part 1"
"66","X1","16MHz 9pF","EPSON FA-20H 16.0000MF12Z-AC (Q24FA20H00044)"
"67","X2","9pF","EPSON FC-12M 32.7680KA-AC (X1A0000610008)"
