"#","RefDes","Value","Part"
"1","BBOOT","","SKSVCAE010"
"2","BRST","","SKSVCAE010"
"3","BTAMP","","SKSVCAE010"
"4","C1","100nF","CL05B104KO5NNNC"
"5","C2","","CL21B104MOCNBNC"
"6","C3","12pF NP0 1%","GRM1555C1H120FA01D"
"7","C4","12pF+ NP0 1%","GRM1555C1H120FA01D"
"8","C5","100nF","CL05B104KO5NNNC"
"9","C6","12pF Capacitor, NP0, ±2%","GRM1555C1H120FA01D"
"10","C7","4.7uF","CL05A475MQ5NRNC"
"11","C8","12pF Capacitor, NP0, ±2%","GRM1555C1H120FA01D"
"12","C9","100nF","CL05B104KO5NNNC"
"13","C10","1uF","CL10B105KP8NNNC"
"14","C11","100nF","CL05B104KO5NNNC"
"15","C12","100nF","CL05B104KO5NNNC"
"16","C13","4.7 µF LowESR < 1","CL10A475KP8NNNC"
"17","J1","","Part 1"
"18","J2","","Part 1"
"19","J3","","Part 1"
"20","J4","","Part 1"
"21","J5","","Part 1"
"22","J6","","Part 1"
"23","J7","","Part 1"
"24","J8","","Part 1"
"25","J9","","Part 1"
"26","J10","","Part 1"
"27","L1","","BLM18HE152SN1D"
"28","L2","Coil Bead","BLM18AG102SN1D"
"29","R1","510","ERJ-2GEJ511X"
"30","R2","10k","ERJ-2RKF1002X"
"31","R3","10k","ERJ-2RKF1002X"
"32","R4","22","EXB-24V220JX"
"33","RST","","Part 1"
"34","SWD","","Part 1"
"35","U1","","Part 1"
"36","U2","","Part 1"
"37","USBOTG","","Part 1"
"38","X1","16MHz 9pF","EPSON FA-20H 16.0000MF12Z-AC (Q24FA20H00044)"
"39","X2","9pF","EPSON FC-12M 32.7680KA-AC (X1A0000610008)"
