#,RefDes,Value,Name,Quantity,Part,Datasheet
1,A1,3dB,Molex-47948,1,Molex-47948,
2,BAL1,,2450BM14E0003,1,2450BM14E0003,
3,Cn1,"12pF Capacitor, NP0, ±2%",CAP_0402,1,500R07S120GV4T,
4,Cn2,"12pF Capacitor, NP0, ±2%",CAP_0402,1,500R07S120GV4T,
5,Cn3,"2.2nF Capacitor, X7R, ±10%",CAP_0402,1,GRM155R70J222KA01D,
6,Cn7,"4.7µF Capacitor, X5R, ±10%",CAP_0603,1,GRM188R60J475KE19D,
7,Cn8,"100nF Capacitor, X7R, ±10%",CAP_0402,1,GRM155R71A104KA01J,
8,Cn9,"1.0nF Capacitor, X7R, ±10%",CAP_0402,1,C0402C102K8RACTU,
9,Cn10,"47nF Capacitor, X7R, ±10%",CAP_0402,1,LMK105B7473KV-F,
10,Cn11,"100nF Capacitor, X7R, ±10%",CAP_0402,1,GRM155R71A104KA01J,
11,Cn12,"1.0µF Capacitor, X5R, ±10%",CAP_0603,1,LMK107B7105KA-T,
12,EMF1,BLM18HE or VLM18GG,IND_0603,1,BLM18HE or BLM18GG,
13,GPIO1,,CAST-1x5T/2.54,1,Part 1,
14,GPIO2,,CAST-1x2T/2.54,1,Part 1,
15,Ln4,"10µH Inductor, 80mA, ±10%",IND_0603,1,LBMF1608T100K,
16,Ln5,"15nH Inductor, 320mA, ±5%",IND_0402,1,HK100515NJ-T,
17,Power,,CAST-1x2T/2.54,1,Part 1,
18,Rn1,12k,RES_0402,1,CRCW040212K0FKED,
19,SWD,,TC2030-MCP-NL,1,Part 1,
20,Un1,,NRF51822_QFN48_DCDC,1,nRF51822-QFAB-R7,
21,Xn1,,XTAL_TSX-3225,1,NX2520SA-16MHZ-STD-CSW-5,http://www.iqdfrequencyproducts.com/products/details/20/
,,,,21,,
