"#","RefDes","Value","Part"
"1","C1","0.1uF","GRM155R71A104KA01J"
"2","C2","0.1uF","GRM155R71A104KA01J"
"3","C3","0.1uF","GRM155R71A104KA01J"
"4","C4","0.1uF","GRM155R71A104KA01J"
"5","C5","0.1uF","GRM155R71A104KA01J"
"6","C6","0.1uF","GRM155R71A104KA01J"
"7","C7","0.1uF","GRM155R71A104KA01J"
"8","C8","0.1uF","GRM155R71A104KA01J"
"9","C9","1uF","GRM155R61A105KE15D"
"10","IN","","Part 1"
"11","OUT","","Part 1"
"12","Power","","Part 1"
"13","Power1","","Part 1"
"14","R1","150k","CRA06S083150KJTA"
"15","R2","150k","CRA06S083150KJTA"
"16","U1","","TSV854IQ4T or TSX564IQ4T"
