"#","RefDes","Value","Name","Part","Pattern","Quantity"
"1","CmBM","100nF Capacitor, X7R, ±10%","CAP_0402","GRM155R71A104KA01J","CAP_0402","1"
"2","CmBMIO","100nF Capacitor, X7R, ±10%","CAP_0402","GRM155R71A104KA01J","CAP_0402","1"
"3","CmMPU","100nF Capacitor, X7R, ±10%","CAP_0402","GRM155R71A104KA01J","CAP_0402","1"
"4","CmMPUIO","10nF Capacitor, X7R, ±10%","CAP_0402","GRM155R71C103KA01D","CAP_0402","1"
"5","CmMRG","100nF Capacitor, X7R, ±10%","CAP_0402","GRM155R71A104KA01J","CAP_0402","1"
"6","F/INT","","CAST-1x2T/2.54","Part 1","CAST-1x2T/2.54/5x2","1"
"7","I2CM","","CAST-1x2T/2.54","Part 1","CAST-1x2T/2.54/5x2","1"
"8","PowerM","","CAST-1x2T/2.54","Part 1","CAST-1x2T/2.54/5x2","1"
"9","Um1","9-axis","MPU-9250","MPU-9250","QFN24-MPU9250","1"
"10","Um2","pressure","BMP180","BMP180","BMP180 7 pin LGA","1"
