"#","RefDes","Value","Part"
"1","A.B","","Part 1"
"2","A.G","","Part 1"
"3","A.M","","Part 1"
"4","C1","100nF","CL05B104KO5NNNC"
"5","C2","100nF","CL05B104KO5NNNC"
"6","C3","100nF","CL05B104KO5NNNC"
"7","C4","10uF","CL10A106MP8NNNC"
"8","C6","10nF 10% 16V","GRM155R71C103KA01D"
"9","C7","100nF","CL05B104KO5NNNC"
"10","DEN/INTG","","Part 1"
"11","DRDY","","Part 1"
"12","I2CM","","Part 1"
"13","INT_M","","Part 1"
"14","PowerM1","","Part 1"
"15","PowerM2","","Part 1"
"16","R1","10k","EXB-28V103JX"
"17","R2","4.7k","EXB-24V472JX"
"18","S1","","Part 1"
"19","U1","","BME280"
"20","U2","","LSM9DS1TR"
"21","U4","","Part 1"
"22","U5","","Part 1"
