"#","RefDes","Value","Part"
"1","C1","0.1uF","CL05B104JO5NNNC"
"2","C2","0.1uF","CL05B104JO5NNNC"
"3","C3","0.01uF","W2A45C103KAT2A"
"4","C4","0.01uF","W2A45C103KAT2A"
"5","C5","0.0047uF","W2A41C472MAT2A"
"6","C6","0.1uF","CL05B104JO5NNNC"
"7","C7","10uF","CL10A106MP8NNNC"
"8","C8","0.1uF","CL05B104KO5NNNC"
"9","C9","0.1uF","CL05B104JO5NNNC"
"10","C10","0.1uF","CL05B104JO5NNNC"
"11","C11","0.1uF","CL05B104JO5NNNC"
"12","C12","0.1uF","CL05B104JO5NNNC"
"13","C13","0.1uF","CL05B104JO5NNNC"
"14","C14","0.1uF","CL05B104JO5NNNC"
"15","C15","0.1uF","CL05B104JO5NNNC"
"16","C16","0.1uF","CL05B104JO5NNNC"
"17","C17","0.1uF","CL05B104JO5NNNC"
"18","IN1","","Part 1"
"19","IN2","","Part 1"
"20","OUT","","Part 1"
"21","Power","","Part 1"
"22","Power2","","Part 1"
"23","R1","300k","EXB-28V304JX"
"24","R2","47k","EXB-28V473JX"
"25","R3","120k","EXB-28V124JX"
"26","R4","91k","EXB-28V913JX"
"27","R5","6.8k","EXB-28V682JX"
"28","R6","47k","EXB-28V473JX"
"29","U1","","TSZ124"
"30","U2","","Part 1"
