"#","RefDes","Value","Part"
"1","A0","","Part 1"
"2","A1","","Part 1"
"3","C1","10uF","CL10A106MP8NNNC"
"4","C2","10uF","CL10A106MP8NNNC"
"5","C3","0.1uF","CL05B104KO5NNNC"
"6","C4","680pF","CL05B681KB5NNNC"
"7","C5","270pF","CL05B271KB5NNNC "
"8","i2cR","","Part 1"
"9","J1","","Part 1"
"10","J2","","Part 1"
"11","J3","","Part 1"
"12","J4","","Part 1"
"13","J5","","Part 1"
"14","L1","Detector Ant","MA5532-AE"
"15","R1","4.7k","EXB-24V472JX"
"16","R2","10k","EXB-24V103JX"
"17","R3","10k","ERJ-2RKF1002X"
"18","U1","","AS3935-BQFT"
"19","U2","","Part 1"
"20","U3","","Part 1"
