"#","RefDes","Value","Part"
"1","A0","","Part 1"
"2","A1","","Part 1"
"3","C1","0.1uF","CL05B104KO5NNNC"
"4","C2","1uF","CL05A105KO5NNNC"
"5","C3","1uF","CL05A105KO5NNNC"
"6","D1","Any cheap 20V+ diode","PMEG3005ELD,315"
"7","i2cR","","Part 1"
"8","J1","","Part 1"
"9","J2","","Part 1"
"10","J3","","Part 1"
"11","J4","","Part 1"
"12","J5","","Part 1"
"13","J6","","Part 1"
"14","J7","","Part 1"
"15","J8","","Part 1"
"16","J9","","Part 1"
"17","L1","22uH","LPS4018-223MRB"
"18","R1","4.7k","EXB-24V472JX"
"19","R2","10k","EXB-28V103JX"
"20","R3","1.05M","CRCW04021M05FKED"
"21","R4","75k","ERJ-2RKF7502X"
"22","U1","","MCP4461T-104E/ML"
"23","U2","","TPS61046YFFT"
"24","U3","","Part 1"
"25","WP","","Part 1"
